Traco product,Recom product,Monasun,XPPoer,Level,Pins,Remark,Traco product,Recom product,,,,,,
TMPS 03,RAC03-K,L40X,K58s,2,Not compatible,Both 3W,PCB Mount,PCB Mount,,,,,,
TMPS 03,RACD03,,,1,,,PCB Mount,Wired,,,,,,
TMPS 03,RAC03-E/277,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMPS 03,RAC03E-K/277,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMPS 03,RAC03-GA,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMPS 03,RAC03-GB,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMPS 03,RAC03-SE/277,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMPS 03,RAC03-SER/277,,,1,,,PCB Mount,Wired,,,,,,
TMPS 03,RELV4,,,1,Not compatible,Recom advantage (3.2W),PCB Mount,PCB Mount,,,,,,
TMLM 04,RAC3.5-K/277,,,1,Not compatible,Both 4W,PCB Mount,PCB Mount,,,,,,
TMLM 04,RAC04-K/277,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMLM 04,RAC04-GA,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMLM 04,RAC04-GB,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMLM 04,RACD04,,,1,,,PCB Mount,Wired,,,,,,
TMLM 05,RACD04,,,1,,Traco 4.1W; Recom 4.2W,PCB Mount,Wired,,,,,,
TMPS 05,RAC05-K/C14,,,2,,Both 5W,PCB Mount,Panel Mount,,,,,,
TMPS 05,RAC05-K/277,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMPS 05,RAC05-K/480,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMLM 05,RAC05E-K,,,2,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMLM 05,RAC05E-KT,,,2,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMLM 05,RACM06E-K/277,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMPW 5-T,RAC05-K/PD3/H,,,1,,Traco 5.5W; Recom 6W,Chassis Mount,PCB Mount,,,,,,
TMLM 10,RAC10(E)-K/277,,,1,Not compatible,Both 10W,PCB Mount,PCB Mount,,,,,,
TMPS 10,RAC10(E)-K/277,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMPS 10,RAC10(E)-K/277,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMPW 10-T,RAC10(E)-K/277,,,1,,,Chassis Mount,PCB Mount,,,,,,
TBL 015,,,,,,Traco advantage (12W),DIN-Rail,,,,,,,
TMLM 20,,,,,,Traco advantage (12W),PCB Mount,,,,,,,
TBL 015,RAC15-K/480,,,1,,Both 15W,DIN-Rail,PCB Mount,,,,,,
TMM 24,RAC15-K/480,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMM 24C,RAC15-K/480,,,1,,,Chassis Mount,PCB Mount,,,,,,
TMP 15C,RAC15-K/480,,,1,,,Chassis Mount,PCB Mount,,,,,,
TMLM 20,,,,,,Traco advantage (18W),PCB Mount,,,,,,,
TPI 30A-J,RAC20-K,,,1,,,Chassis Mount,Wired,,,,,,
TPP 30A-D,RAC20-K,,,1,,,PCB Mount,Wired,,,,,,
TPP 30A-J,RAC20-K,,,1,,,Chassis Mount,Wired,,,,,,
TPP 30-D,RAC20-K,,,1,,,PCB Mount,Wired,,,,,,
TPP 30-J,RAC20-K,,,1,,,Chassis Mount,Wired,,,,,,
TCL 024,RAC20-K,,,2,,,DIN-Rail,Wired,,,,,,
TPC 030,RAC20-K,,,2,,,DIN-Rail,Wired,,,,,,
TMLM 20,RAC20-K,,,1,,,PCB Mount,Wired,,,,,,
TMPW 25-T,RAC20E-12SK/277,,,1,,,Chassis Mount,,,,,,,
TMPW 25-T,RAC25-K/480,,,1,,,Chassis Mount,PCB Mount,,,,,,
TCL 024,RAC25-K/480,,,1,,,DIN-Rail,PCB Mount,,,,,,
TMM 24,RAC25-K/480,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMM 24C,RAC25-K/480,,,1,,,Chassis Mount,PCB Mount,,,,,,
TPC 030,,,,,,Traco advantage (26W),DIN-Rail,,,,,,,
TBL 030,RACM30-K/277,,,1,,,DIN-Rail,PCB Mount,,,,,,
TMP 30C,RACM30-K/277,,,1,,,Chassis Mount,PCB Mount,,,,,,
TPC 030,RACM30-K/277,,,1,,,DIN-Rail,PCB Mount,,,,,,
TPI 30A-J,RACM30-K/277,,,1,,,Chassis Mount,PCB Mount,,,,,,
TPP 30A-D,RACM30-K/277,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TPP 30A-J,RACM30-K/277,,,1,,,Chassis Mount,PCB Mount,,,,,,
TPP 30-D,RACM30-K/277,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TPP 30-J,RACM30-K/277,,,1,,,Chassis Mount,PCB Mount,,,,,,
TPI 30A-JP,RACM30-K/277,,,1,,,Chassis Mount,PCB Mount,,,,,,
TMM 40,RACM60-K,,,2,Not compatible,Recom 40W,PCB Mount,PCB Mount,,,,,,
TMM 40C,RACM60-K,,,2,,,Chassis Mount,PCB Mount,,,,,,
TPP 40,RACM60-K,,,2,,,Chassis Mount,PCB Mount,,,,,,
TPP 40A,RACM60-K,,,2,,,Chassis Mount,PCB Mount,,,,,,
TPI 65A-J,RACM60-K,,,2,,,Chassis Mount,PCB Mount,,,,,,
TPP 65,RACM60-K,,,2,,,Chassis Mount,PCB Mount,,,,,,
TPP 65A,RACM60-K,,,2,,,Chassis Mount,PCB Mount,,,,,,
TPC 055,,,,,,Traco advantage (42W),DIN-Rail,,,,,,,
TMPW 50-T,RACM60-K,,,1,,,Chassis Mount,PCB Mount,,,,,,
TMM 60,,,,,,Traco advantage (51W),PCB Mount,,,,,,,
TMP 60C,,,,,,Traco advantage (51W),Chassis Mount,,,,,,,
TBL 060,,,,,,Traco advantage (54W),DIN-Rail,,,,,,,
TPC 055,,,,,,Traco advantage (55W),DIN-Rail,,,,,,,
TCL 060,RACM60-K,,,1,,Recom 60W,DIN-Rail,PCB Mount,,,,,,
TMM 60,RACM60-K,,,1,Not compatible,,PCB Mount,PCB Mount,,,,,,
TMM 60C,RACM60-K,,,1,,,Chassis Mount,PCB Mount,,,,,,
TMP 60C,RACM60-K,,,1,,,Chassis Mount,PCB Mount,,,,,,
 TBL 060,RACM60-K,,,1,,,DIN-Rail,PCB Mount,,,,,,
TPI 65A-J,,,,,,Traco advantage (65W),Chassis Mount,,,,,,,
TPP 65,,,,,,Traco advantage (65W),Chassis Mount,,,,,,,
TPP 65A,,,,,,Traco advantage (65W),Chassis Mount,,,,,,,
TBL 090,,,,,,Traco advantage (72W),DIN-Rail,,,,,,,
TPC 080,,,,,,Traco advantage (80W),DIN-Rail,,,,,,,
TML 100C,,,,,,Traco advantage (85W),Chassis Mount,,,,,,,
TBL 090,RACM90-K,,,2,,Recom 90W,DIN-Rail,PCB Mount,,,,,,
TEX 120,,,,,,Traco advantage (96W),Chassis Mount,,,,,,,
TPC 120,,,,,,Traco advantage (100W),DIN-Rail,,,,,,,
TML 100C,,,,,,Traco advantage (100W),Chassis Mount,,,,,,,
TOP 100,,,,,,Traco advantage (100W),Chassis Mount,,,,,,,
TOP 100C,,,,,,Traco advantage (100W),Chassis Mount,,,,,,,
TPI 100A,,,,,,Traco advantage (100W),Chassis Mount,,,,,,,
TPP 100,,,,,,Traco advantage (100W),Chassis Mount,,,,,,,
TPP 100A-J,,,,,,Traco advantage (100W),Chassis Mount,,,,,,,
TBL 150,REDIIN120,,,1,,,DIN-Rail,DIN-Rail,,,,,,
TCL 120,REDIIN120,,,1,,,DIN-Rail,DIN-Rail,,,,,,
TEX 120,REDIIN120,,,1,,,Chassis Mount,DIN-Rail,,,,,,
TPC 120,REDIIN120,,,1,,,DIN-Rail,DIN-Rail,,,,,,
TPI 125A-J,RACM130E-K,,,1,,Traco 125W; Recom 130W,Chassis Mount,PCB Mount,,,,,,
TPI 125A-J,RACM140E-K,,,1,,Recom 136.8W; 140W,Chassis Mount,PCB Mount,,,,,,
TBL 150,RAC150-G,,,1,,Traco 150W,DIN-Rail,PCB Mount,,,,,,
TPI 150A,RAC150-G,,,1,,,Chassis Mount,PCB Mount,,,,,,
TPP 150,RAC150-G,,,1,,,Chassis Mount,PCB Mount,,,,,,
TPP 150A-J,RAC150-G,,,1,,,Chassis Mount,PCB Mount,,,,,,
,RACM230-G,,,1,,Recom advantage (160W),,PCB Mount,,,,,,
TOP 200,,,,,,Traco 200W,Chassis Mount,,,,,,,
,RACM230-G,,,1,,Recom advantage (230W),,PCB Mount,,,,,,
TCI 240,REDIIN240,,,2,,,Chassis Mount,DIN-Rail,,,,,,
TCI 500U,,,,,,Traco 500W,Chassis Mount,,,,,,,
,RACM550-G,,,1,,Recom advantage (550W),,PCB Mount,,,,,,
,RACM600-L/OF,,,1,,Recom advantage (600W),,Chassis Mount,,,,,,
